,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
136,1.7854912281036377,0.10333514213562012,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5916795069337442,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
137,1.8617053031921387,0.08560562133789062,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8567026194144838,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
150,1.992906093597412,0.0721750259399414,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8606965174129353,PB02,01,cvsa,,,ica,,,,,free,WCBLE
151,2.0023601055145264,0.09707522392272949,0.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6676923076923076,PB02,01,cvsa,,,ica,,,,,free,WCBLE
152,1.7897799015045166,0.07378602027893066,0.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.847926267281106,PB02,01,cvsa,,,ica,,,,,free,WCBLE
153,2.294088840484619,0.05809354782104492,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8622828784119106,PB02,01,cvsa,,,ica,,,,,free,WCBLE
154,1.857349157333374,0.07781076431274414,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7818411097099622,PB02,01,cvsa,,,ica,,,,,free,WCBLE
155,2.085967779159546,0.08485531806945801,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6812121212121212,PB02,01,cvsa,,,ica,,,,,free,WCBLE
168,0.6997780799865723,0.06374192237854004,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7111111111111111,PB04,01,cvsa,,,ica,,,,,overt,WCBLE
169,0.7730355262756348,0.05486130714416504,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7548076923076923,PB04,01,cvsa,,,ica,,,,,overt,WCBLE
170,0.6760284900665283,0.05420875549316406,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8645833333333333,PB04,01,cvsa,,,ica,,,,,overt,WCBLE
171,0.7870767116546631,0.05597519874572754,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,PB04,01,cvsa,,,ica,,,,,overt,WCBLE
172,0.43987417221069336,0.056587934494018555,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7420634920634921,PB04,01,cvsa,,,ica,,,,,overt,WCBLE
173,0.5549221038818359,0.06155681610107422,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8782991202346041,PB04,01,cvsa,,,ica,,,,,overt,WCBLE
186,0.7879698276519775,0.07349109649658203,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488095238095239,PB04,01,cvsa,,,ica,,,,,covert,WCBLE
187,1.0310583114624023,0.050220489501953125,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407239819004526,PB04,01,cvsa,,,ica,,,,,covert,WCBLE
188,0.6522805690765381,0.07912111282348633,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45738636363636365,PB04,01,cvsa,,,ica,,,,,covert,WCBLE
189,0.8048250675201416,0.07670116424560547,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3453125,PB04,01,cvsa,,,ica,,,,,covert,WCBLE
190,0.8267123699188232,0.06637287139892578,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534668721109399,PB04,01,cvsa,,,ica,,,,,covert,WCBLE
191,0.9482131004333496,0.05409097671508789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48983050847457626,PB04,01,cvsa,,,ica,,,,,covert,WCBLE
204,0.4013218879699707,0.07699418067932129,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9644970414201184,PB04,01,cvsa,,,ica,,,,,free,WCBLE
205,0.49526453018188477,0.060465097427368164,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8994490358126722,PB04,01,cvsa,,,ica,,,,,free,WCBLE
206,0.5006601810455322,0.0645604133605957,0.3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7370629370629371,PB04,01,cvsa,,,ica,,,,,free,WCBLE
207,0.37896203994750977,0.07563900947570801,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9416873449131513,PB04,01,cvsa,,,ica,,,,,free,WCBLE
208,0.38713932037353516,0.06432604789733887,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7404371584699453,PB04,01,cvsa,,,ica,,,,,free,WCBLE
209,0.40617990493774414,0.07516002655029297,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8933333333333333,PB04,01,cvsa,,,ica,,,,,free,WCBLE
222,0.8247625827789307,0.07157111167907715,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7176616915422885,PC02,01,cvsa,,,ica,,,,,overt,WCBLE
223,1.2634930610656738,0.044960975646972656,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7837465564738293,PC02,01,cvsa,,,ica,,,,,overt,WCBLE
224,0.6838061809539795,0.07329821586608887,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7059523809523809,PC02,01,cvsa,,,ica,,,,,overt,WCBLE
225,0.84466552734375,0.057126760482788086,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.810966810966811,PC02,01,cvsa,,,ica,,,,,overt,WCBLE
226,0.7034265995025635,0.07522273063659668,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7827868852459017,PC02,01,cvsa,,,ica,,,,,overt,WCBLE
227,1.0120840072631836,0.055910587310791016,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8345454545454545,PC02,01,cvsa,,,ica,,,,,overt,WCBLE
240,1.0523326396942139,0.05748558044433594,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5380184331797235,PC02,01,cvsa,,,ica,,,,,covert,WCBLE
241,1.333416223526001,0.05531883239746094,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6335227272727273,PC02,01,cvsa,,,ica,,,,,covert,WCBLE
