,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
145,0.25232839584350586,0.06425023078918457,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.764102564102564,PB02,01,cvsa,,,ica,,,,,free,tLDA
146,0.28481173515319824,0.05426907539367676,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.793778801843318,PB02,01,cvsa,,,ica,,,,,free,tLDA
147,0.2876553535461426,0.05127382278442383,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7704714640198511,PB02,01,cvsa,,,ica,,,,,free,tLDA
148,0.2932460308074951,0.04991626739501953,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7730138713745272,PB02,01,cvsa,,,ica,,,,,free,tLDA
149,0.2892751693725586,0.047551870346069336,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.743030303030303,PB02,01,cvsa,,,ica,,,,,free,tLDA
162,0.1154482364654541,0.062259674072265625,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7787878787878788,PB04,01,cvsa,,,ica,,,,,overt,tLDA
163,0.11386775970458984,0.06547284126281738,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7908653846153847,PB04,01,cvsa,,,ica,,,,,overt,tLDA
164,0.12188220024108887,0.0732734203338623,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8580729166666667,PB04,01,cvsa,,,ica,,,,,overt,tLDA
165,0.1206045150756836,0.06255173683166504,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7642045454545455,PB04,01,cvsa,,,ica,,,,,overt,tLDA
166,0.11917471885681152,0.06663942337036133,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7076719576719577,PB04,01,cvsa,,,ica,,,,,overt,tLDA
167,0.11566591262817383,0.06423091888427734,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9296187683284458,PB04,01,cvsa,,,ica,,,,,overt,tLDA
180,0.11376237869262695,0.058541059494018555,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,PB04,01,cvsa,,,ica,,,,,covert,tLDA
181,0.11725687980651855,0.0601806640625,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4309954751131222,PB04,01,cvsa,,,ica,,,,,covert,tLDA
182,0.12311315536499023,0.05623054504394531,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4815340909090909,PB04,01,cvsa,,,ica,,,,,covert,tLDA
183,0.1268165111541748,0.0559535026550293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4484375,PB04,01,cvsa,,,ica,,,,,covert,tLDA
184,0.1262674331665039,0.05058741569519043,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5254237288135593,PB04,01,cvsa,,,ica,,,,,covert,tLDA
185,0.12273788452148438,0.052369117736816406,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4542372881355932,PB04,01,cvsa,,,ica,,,,,covert,tLDA
198,0.10109257698059082,0.0538630485534668,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9585798816568047,PB04,01,cvsa,,,ica,,,,,free,tLDA
199,0.10125327110290527,0.05493307113647461,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8801652892561984,PB04,01,cvsa,,,ica,,,,,free,tLDA
200,0.09919953346252441,0.0536496639251709,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7496503496503497,PB04,01,cvsa,,,ica,,,,,free,tLDA
201,0.10716652870178223,0.06868147850036621,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9057071960297768,PB04,01,cvsa,,,ica,,,,,free,tLDA
202,0.12067389488220215,0.046569108963012695,0.4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6926229508196722,PB04,01,cvsa,,,ica,,,,,free,tLDA
203,0.1221628189086914,0.04829001426696777,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8583333333333334,PB04,01,cvsa,,,ica,,,,,free,tLDA
216,0.1454615592956543,0.058112382888793945,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7251243781094527,PC02,01,cvsa,,,ica,,,,,overt,tLDA
217,0.14898061752319336,0.052140235900878906,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7713498622589532,PC02,01,cvsa,,,ica,,,,,overt,tLDA
218,0.15006732940673828,0.05319857597351074,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7738095238095238,PC02,01,cvsa,,,ica,,,,,overt,tLDA
219,0.173537015914917,0.043675899505615234,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.746031746031746,PC02,01,cvsa,,,ica,,,,,overt,tLDA
