,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
159,0.7360236644744873,0.09639406204223633,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409429280397022,PB02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
160,0.5934169292449951,0.1407628059387207,0.4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6090794451450189,PB02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
161,0.6008684635162354,0.13352417945861816,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6206060606060606,PB02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
174,0.4628140926361084,0.10346579551696777,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7696969696969698,PB04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
175,0.48767614364624023,0.12136077880859375,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7307692307692307,PB04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
176,0.5865709781646729,0.09559512138366699,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8372395833333334,PB04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
177,0.6016552448272705,0.09195566177368164,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7159090909090909,PB04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
178,0.45137500762939453,0.09769654273986816,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6693121693121693,PB04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
179,0.47275233268737793,0.11805009841918945,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8797653958944281,PB04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
192,0.44817113876342773,0.13115286827087402,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5273809523809524,PB04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
