,subject,session,task,acquisition,run,processing,space,recording,split,description,test_single_trial_accuracy,cond_train,cond_test,pipeline
176,PB04,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
177,PB04,01,cvsa,,,ica,,,,,0.5,covert,free,tLDA
178,PB04,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
179,PB04,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
180,PB04,01,cvsa,,,ica,,,,,0.4,free,free,tLDA
181,PB04,01,cvsa,,,ica,,,,,0.3,free,overt,tLDA
182,PB04,01,cvsa,,,ica,,,,,0.1,free,covert,tLDA
183,PB04,01,cvsa,,,ica,,,,,0.5,overt,free,tLDA
184,PB04,01,cvsa,,,ica,,,,,0.5,overt,overt,tLDA
185,PB04,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
186,PB04,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
187,PB04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
188,PB04,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
189,PB04,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
190,PB04,01,cvsa,,,ica,,,,,0.4,free,overt,tLDA
191,PB04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
192,PB04,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
193,PB04,01,cvsa,,,ica,,,,,0.3,overt,overt,tLDA
194,PB04,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
195,PB04,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
196,PB04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
197,PB04,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
198,PB04,01,cvsa,,,ica,,,,,0.8,free,free,tLDA
199,PB04,01,cvsa,,,ica,,,,,0.9,free,overt,tLDA
200,PB04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
201,PB04,01,cvsa,,,ica,,,,,0.5,overt,free,tLDA
202,PB04,01,cvsa,,,ica,,,,,0.9,overt,overt,tLDA
203,PB04,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
204,PB04,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
205,PB04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
206,PB04,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
207,PB04,01,cvsa,,,ica,,,,,0.7,free,free,tLDA
208,PB04,01,cvsa,,,ica,,,,,0.4,free,overt,tLDA
209,PB04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
210,PB04,01,cvsa,,,ica,,,,,0.6,overt,free,tLDA
211,PB04,01,cvsa,,,ica,,,,,0.6,overt,overt,tLDA
212,PB04,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
213,PB04,01,cvsa,,,ica,,,,,0.0,covert,free,tLDA
214,PB04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
215,PB04,01,cvsa,,,ica,,,,,0.0,covert,covert,tLDA
216,PC02,01,cvsa,,,ica,,,,,0.4,free,free,tLDA
217,PC02,01,cvsa,,,ica,,,,,0.3,free,overt,tLDA
218,PC02,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
219,PC02,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
220,PC02,01,cvsa,,,ica,,,,,0.5,overt,overt,tLDA
221,PC02,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
222,PC02,01,cvsa,,,ica,,,,,0.4,covert,free,tLDA
223,PC02,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
224,PC02,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
225,PC02,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
226,PC02,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
227,PC02,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
228,PC02,01,cvsa,,,ica,,,,,0.6,overt,free,tLDA
229,PC02,01,cvsa,,,ica,,,,,0.5,overt,overt,tLDA
230,PC02,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
231,PC02,01,cvsa,,,ica,,,,,0.5,covert,free,tLDA
232,PC02,01,cvsa,,,ica,,,,,0.2,covert,overt,tLDA
233,PC02,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
234,PC02,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
235,PC02,01,cvsa,,,ica,,,,,0.3,free,overt,tLDA
236,PC02,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
237,PC02,01,cvsa,,,ica,,,,,0.2,overt,free,tLDA
238,PC02,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
239,PC02,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
240,PC02,01,cvsa,,,ica,,,,,0.1,covert,free,tLDA
241,PC02,01,cvsa,,,ica,,,,,0.7,covert,overt,tLDA
242,PC02,01,cvsa,,,ica,,,,,0.0,covert,covert,tLDA
243,PC02,01,cvsa,,,ica,,,,,0.4,free,free,tLDA
244,PC02,01,cvsa,,,ica,,,,,0.6,free,overt,tLDA
245,PC02,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
246,PC02,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
247,PC02,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
248,PC02,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
249,PC02,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
250,PC02,01,cvsa,,,ica,,,,,0.5,covert,overt,tLDA
251,PC02,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
252,PC02,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
253,PC02,01,cvsa,,,ica,,,,,0.2,free,overt,tLDA
254,PC02,01,cvsa,,,ica,,,,,0.5,free,covert,tLDA
255,PC02,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
256,PC02,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
257,PC02,01,cvsa,,,ica,,,,,0.5,overt,covert,tLDA
258,PC02,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
259,PC02,01,cvsa,,,ica,,,,,0.0,covert,overt,tLDA
260,PC02,01,cvsa,,,ica,,,,,0.4,covert,covert,tLDA
261,PC02,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
262,PC02,01,cvsa,,,ica,,,,,0.2,free,overt,tLDA
263,PC02,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
264,PC02,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
265,PC02,01,cvsa,,,ica,,,,,0.7,overt,overt,tLDA
266,PC02,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
267,PC02,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
268,PC02,01,cvsa,,,ica,,,,,0.5,covert,overt,tLDA
269,PC02,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
270,PC03,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
271,PC03,01,cvsa,,,ica,,,,,0.2,free,overt,tLDA
272,PC03,01,cvsa,,,ica,,,,,0.4,free,covert,tLDA
273,PC03,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
274,PC03,01,cvsa,,,ica,,,,,0.3,overt,overt,tLDA
275,PC03,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
276,PC03,01,cvsa,,,ica,,,,,0.0,covert,free,tLDA
277,PC03,01,cvsa,,,ica,,,,,0.2,covert,overt,tLDA
278,PC03,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
279,PC03,01,cvsa,,,ica,,,,,0.1,free,free,tLDA
280,PC03,01,cvsa,,,ica,,,,,0.5,free,overt,tLDA
281,PC03,01,cvsa,,,ica,,,,,0.3,free,covert,tLDA
282,PC03,01,cvsa,,,ica,,,,,0.2,overt,free,tLDA
283,PC03,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
284,PC03,01,cvsa,,,ica,,,,,0.0,overt,covert,tLDA
285,PC03,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
286,PC03,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
287,PC03,01,cvsa,,,ica,,,,,0.0,covert,covert,tLDA
288,PC03,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
289,PC03,01,cvsa,,,ica,,,,,0.2,free,overt,tLDA
290,PC03,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
291,PC03,01,cvsa,,,ica,,,,,0.1,overt,free,tLDA
292,PC03,01,cvsa,,,ica,,,,,0.2,overt,overt,tLDA
293,PC03,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
294,PC03,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
295,PC03,01,cvsa,,,ica,,,,,0.3,covert,overt,tLDA
296,PC03,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
297,PC03,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
298,PC03,01,cvsa,,,ica,,,,,0.6,free,overt,tLDA
299,PC03,01,cvsa,,,ica,,,,,0.3,free,covert,tLDA
